,title,date,content,preprocessed_content
6,City’s first art bank opens,2023-04-30,"FIRST ART BANK — Baguio’s first art bank opened on April 25 with a ribbon-cutting ceremony led by Councilor Leandro Yangot, Jr. and graced by Mayor Benjamin Magalong, City Administrator Bonifacio dela Peña, and Creative City Council co-chair Raymundo Rovillos. The art bank, located at Athletic Bowl, will serve as depository for the works of local artists. — NCO
The city government of Baguio launched an Art Bank, a first in the Unesco Creative City of Crafts and Folk Arts.
The Art Bank, located at the Baguio Athletic Bowl, is a creative space that shall serve as a depository for the works of local artists and open to the public for viewing.
It was officially opened on April 25 with a ribbon-cutting ceremony led by Councilor Leonardo Yangot, Jr. and graced by Mayor Benjamin Magalong.
Yangot urged local artists to exhibit their artworks in the art bank.
“Artists can store their creations, especially during this rainy season, so that many will see and be interested in purchasing local artists’ artwork when the peak season comes,” he said.
The art bank, which will be expanded to the Sports Office once it is moved to its new building, will highlight the works of local artists and help people understand the value of art and culture for inclusive growth, according to Magalong. – Alpha May U. Patacsil



",first art bank first art bank opened ribbon cutting ceremony led councilor yangot graced mayor benjamin magalong creative art bank located athletic bowl serve depository works local artists art bank first creative art bank located athletic bowl creative serve depository works local artists opened ribbon cutting ceremony led councilor yangot graced mayor benjamin magalong yangot local artists art bank artists season local artists season art bank works local artists art magalong
7,Rules set on busking at CBD,2023-04-30,"The city government of Baguio will resume the conduct of Session Road Sunday Pedestrianization on May 7 after setting guidelines to address issues about buskers or street performers.
The city government suspended the Sunday promenades at Session Road after the Panagbenga Festival, giving back the main thoroughfare to motorists due to complaints against buskers and complaints from the buskers themselves.
Issues raised include the lack of guidelines on selling and/or merchants abusing their privilege; products sold are not different from market those sold in the market; crowding due to the unregulated operation of buskers; agents making busking a business; busking outside of Session Road and on weekdays; use of animals in busking; mendicants posing as buskers; harassment of buskers by promenaders and vice versa; and unregulated solicitations.
The City Tourism Office serving as the secretariat and overseer of the Session Road Sunday Pedestrianization activity proposed the following guidelines, which were immediately adopted by city executives during a management committee meeting held April 25.
Only buskers accredited by the City Tourism Office will be allowed at Session Road.
Requests for registration will be subject to curation and validation. Strictly, no ID, no busking.
Up to 150 buskers (number can vary as approved) are allowed on one given Sunday. Buskers shall be allowed only during their assigned schedules. All buskers scheduled on a given Sunday shall be assigned an area, moving out from assigned area/s is not allowed. Shared areas must be to some extent, equally divided.
Specially-abled buskers may be exempted from rotation on schedules and areas, as long as registered and endorsed by Persons with Disability Affairs Office. – PIO



",government session road sunday pedestrianization guidelines issues buskers government sunday session road due complaints buskers complaints buskers issues guidelines sold market sold market due unregulated buskers busking busking session road busking buskers buskers unregulated tourism office session road sunday pedestrianization guidelines buskers tourism office allowed session road busking buskers allowed given sunday buskers shall allowed assigned schedules buskers given sunday shall assigned area assigned area allowed areas buskers schedules areas office
8,COMMEMORATING LIBERATION OF BAGUIO,2023-04-30,"COMMEMORATING LIBERATION OF BAGUIO — Surviving war veterans led the commemoration of the World War II Liberation of Baguio Sunrise at Burnham Park on April 27 wherein the country’s historical turning point of the war happened in the city between Feb. 21 to April 26, 1945. Also present during the event were Philippine Veterans Bank Manager Jacqueline Eman, Philippine Veterans Affairs Office Head Cherilyn Sabling, and representatives from the Sons and Daughters of Veterans Association. A plaque of recognition for the heroism was handed over to Cpl. Ernesto C. Luis, Pvt. Epifanio L. Besuayan, and the 66th Infantry, USAFIP-NL. — Neil Clark Ongchangco



",liberation war veterans war liberation war philippine veterans philippine veterans veterans
9,Student leaders decry military’s intimidation,2023-04-30,"The student council of the University of the Philippines Baguio called on city officials to denounce the alleged surveillance, harassment, and intimidation by military units on students and their families.
Student council officers Iya Trinidad, Angelika Joven, and Kendree Almero sought an audience with the Baguio City Council last April 17. 
Trinidad said five UPB students had been victims of surveillance, harassment, and intimidation by Task Group Baguio in a span of five months. She said these students had been visited by members of Task Group Baguio in their homes and had been accused as “potential recruits” of communist groups.
Almero called these acts “untimely, undemocratic, and unnecessary.” He appealed to the city council to call out and condemn such acts.
Councilor and Sangguniang Kabataan Federation President Levy Lloyd Orcales said during the public consultations regarding the proposed Youth Development Code of Baguio City, a number of students from different universities shared the same experience. 
Orcales said it was the fourth time that student leaders had reached out to the city council to express their recurrent concern with law enforcement agencies.
Councilor Mylen Yaranon said the city council will push for legislation protecting students and other individuals against red-tagging and police/military harassment. 
Incidentally, on the same day, the city council approved on first reading a proposed ordinance establishing a mechanism that protects the rights and fundamental freedom of human rights defenders in the city. 
On April 19, human rights defenders and members of various advocacy groups in the city trooped to the multipurpose hall of the Baguio City Hall to attend the public consultation facilitated by Councilor Jose Molintas. 
The consultation tackled the proposal of the Baguio City Police Office to give incentives to informants of members of communist groups. It also tackled red-tagging incidents in the city including the symposia or fora conducted by uniformed personnel in various schools in the city where various organizations were linked to communist groups and videos containing violent scenes were reportedly shown. 
Participants of the consultation, some of them claimed to have been red-tagged, denounced the vilification of student leaders and human rights defenders by state forces. 
They also opposed the proposed reward system for tipsters as this may result in a “witch hunt.”
They also condemned the conduct of forums in schools where legitimate organizations were branded as belonging to terrorist groups.
They called on the city council to enact legislation that would uphold academic freedom and would guarantee the protection of the youth from police and military intimidation.
Task Group Baguio Commander Cristopher Sab-it said the forums which they conducted in schools were part of their information-education campaign against insurgency in the country. He denied showing graphic videos and pictures during these forums.
Sab-it said he is open for dialogues with the advocacy groups and broached a joint information-education campaign with them. 
Lawyer Joecle Dongla of the CHR-Cordillera said 34 cases of red-tagging were filed before the CHR from 2018 to 2023. Of the number, 18 were dismissed, 13 were resolved with findings on human rights violations, and four are still pending. 
Earlier this year, an advocacy group called Justice and Peace Network in the Cordillera also called on the city council to craft guidelines on banning red-tagging and political vilification.
The group’s appeal was prompted by an incident at Session Road where a policeman allegedly harassed 14 of its members during a chalk art activity on Dec. 4, 2022. According to the group, the police officer allegedly linked their solidarity messages to terrorism.
Molintas said red-tagging is divisive and impinges on the right to free speech. – Jordan G. Habbiling



",student council called surveillance harassment intimidation military students student council trinidad almero council trinidad said five students surveillance harassment intimidation task group five said students members task group communist groups almero called acts council acts councilor orcales said public proposed youth number students orcales said student leaders council councilor said council legislation students red tagging police military harassment council proposed rights freedom human rights defenders human rights defenders members various advocacy groups hall hall public consultation councilor molintas consultation tackled police members communist groups also tackled red tagging conducted various schools various organizations linked communist groups videos consultation red vilification student leaders human rights defenders also proposed also forums schools organizations groups called council legislation would freedom would youth police military intimidation task group sab said forums conducted schools information education campaign videos forums sab said advocacy groups information education campaign chr cordillera said red tagging chr number human rights advocacy group called cordillera also called council red tagging vilification group allegedly members group police allegedly linked molintas said red tagging
10,TOWARDS LASTING PEACE,2023-04-30,"TOWARDS LASTING PEACE — Members of the Youth for Peace-Baguio chapter in partnership with the Task Group-Baguio held a concert and other activities with a theme”“Bridging Cultural Diversity and Youth Empowerment in the Advocacy of Sustainable Peace and Development” at Malcolm Square, Baguio City on April 24. The event also aims to protect the youth from joining the underground movement. — Contributed photo



",peace youth peace youth peace youth
11,City gets aggressive in anti-squatting campaign,2023-04-30,"The city government will halt ongoing constructions in residential and forest reservations that are not covered by building permits as it adopted a more aggressive stance against squatting and violators of the National Building Code and environment laws.
Mayor Benjamin Magalong who ordered an intensified campaign against ongoing illegal structures last March 3 formed a core group called the Baguio Anti-Squatting and Illegal Structures (Basis) to conduct inspections and identify and stop structural developments not covered by the necessary permits.
The Basis is composed of personnel from the City Buildings and Architecture Office, City Environment and Parks Management Office, City Legal Office, City Engineering Office and deputized environment officers of the Baguio City Police Office.
Since the mayor issued the order, BCPO City Director Col. Francis Bulwayan Jr. included the monitoring of ongoing constructions in residential, commercial and forest areas in regular patrol activities of the different police stations.
Those not covered by permits were reported to the CBAO for verification and issuance of notices of violation and cease and desist orders.
As a result of the inspections, an ongoing residential building construction at GEFA barangay was issued a cease and desist order with the owner advised against pursuing further construction activities and to secure building permit. The owner was likewise directed to clean and clear all construction materials and debris obstructing the sidewalk immediately and to enclose the construction site with green G.I sheets pursuant to Executive Order 17, s. 2020.
An ongoing construction of a rooftop enclosure at Roman Ayson, Campo Filipino was also slapped similar orders for having no permit.
In Outlook Drive, four ongoing structural developments (two ongoing building constructions, one extension and one digging of foundation) were found without building permits posted at the construction sites in Purok 2 and Purok 4.
The BCPO endorsed its findings to the CBAO for verification and issuance of notices of violation of the Building Code.
Three ongoing large constructions at Navy Base, St. Joseph Village were also issued cease and desist orders. – Jessa Samidan and Aileen Refuerzo



",ongoing constructions residential forest covered building permits squatting building code environment mayor ongoing illegal structures squatting illegal structures basis inspections structural developments covered permits basis office environment office office office environment police office mayor issued order bcpo ongoing constructions residential forest activities police covered permits cbao verification issuance notices violation cease desist orders inspections ongoing residential building construction issued cease desist order owner construction activities building permit owner construction construction order ongoing construction also orders permit ongoing structural developments ongoing building constructions one one building permits construction purok purok bcpo cbao verification issuance notices violation building code ongoing constructions also issued cease desist orders
12,Councilors back titling some portions of Burnham Park,2023-04-30,"Several members of the Baguio City Council lauded the initiative of the executive department to title portions of Burnham Park in the name of the city government of Baguio.
Councilor Jose Molintas said having a title over Burnham Park will allow the city government to “clear the irregularities” happening therein including illegal occupation, adding that the city government does not intend to remove the jurisdiction of the Tourism Infrastructure and Enterprise Zone Authority (Tieza) over the area.
During the regular session last April 24, the city council approved the proposed additional fund in the amount of P2 million for the titling of other portions in Burnham Park and other areas in the city that are being used by the city government. 
The recently titled portions are referred to as Burnham Lot 1 with a total area of 182,045 square meters. This lot covers the picnic grove, skating rink, the parking area fronting Tiong San Harrison, City Environment and Parks Management extension office, City Library, Burnham Lake, Children’s Playground, Orchidarium, bicycle area, Rose Garden, Melvin Jones Grandstand, food stalls, Igorot Garden, and Ibaloy Park.
The title, called Original Certificate of Title 2023000017, was issued on March 3.
After acquiring a title for Burnham Lot 1, the city government is now pursuing the titling of Burnham Park Lot 6 which covers portions of the public swimming pool, and Lions Club and Pine Trees of the World with an area of 10,021 square meters. However, City Planning and Development Officer Donna Tabangin said the Department of Environment and Natural Resources had returned the titling application of the city government for Lot 6 due to some issues with its adjacent lots.
City Administrator Bonifacio dela Peña said the city government will apply for all areas in Burnham Park that are not covered by Original Certificate Title 1.
With an area of 299,083 square meters, OCT 1 is under the Insular Government and is managed by the DENR. Portions of Burnham Park covered by OCT 1 include the Athletic Bowl and the lots where the old city library and old auditorium were located. 
These land titling initiatives were started by former mayor Mauricio Domogan and are being completed by the current administration.
Burnham Park is a historic urban park in the city covered by Proclamation 64, s. 1925, which established the Burnham Park reservation for park purposes.
The city government has been the administrator of Burnham Park since Feb. 10, 1995 pursuant to Executive Order 244 issued by then President Fidel Ramos. Prior to this, the park was under the Philippine Tourism Authority. The full control and further development of the same was finally transferred to the city government on Jan. 10, 2008 when then President Gloria Macapagal-Arroyo issued Executive Order 695.
Department of Tourism Legal Officer Brenden Quintos said Tieza, during a meeting last March 29, questioned the move of the city government to have Burnham Park titled in its name and that Tieza wants to retain ownership of Burnham Park. 
Dela Peña said the city government will have a dialogue with Tieza to iron out the issue on titling.
Councilor Mylen Yaranon earlier questioned the plan to title portions of Burnham Park in the name of the city government. She asked whether a presidential proclamation can be canceled by the issuance of a land title.
She said OCT 1 was also questioned during the term of her late father, then Mayor Braulio Yaranon.
General Services Officer Eugene Buyucan, whose office is tasked to process the titling, said OCT 1 which was issued in 1910 does not supersede Proclamation 64 since the former precedes the latter.
He added acquisition of a title does not cancel Proclamation 64 as the proclamation identifies the use of an area while a title indicates who owns it. – Jordan G. Habbiling



",council executive department portions burnham park name government councilor said burnham park government government tourism authority tieza area last council titling portions burnham park areas government titled portions burnham lot area square meters lot covers area environment office library burnham area garden garden park original certificate issued burnham lot government titling burnham park lot covers portions area square meters development officer said department environment titling government lot lots administrator dela said government areas burnham park covered original certificate area square meters oct government portions burnham park covered oct lots old library old land titling former mayor burnham park park covered proclamation burnham park park government administrator burnham park since executive order issued president park tourism authority development government president issued executive order department tourism officer said tieza last questioned government burnham park titled name tieza burnham park dela said government tieza titling councilor yaranon questioned portions burnham park name government proclamation land said oct questioned mayor yaranon officer office titling said oct issued proclamation since former proclamation proclamation area
13,Leader airs side on issues hounding Ifugao Day in city,2023-04-30,"An Ifugao group leader refuted the claims made by another group who appeared before the city council earlier to seek the latter’s help in settling their differences.
Raul Ballogan, founder and National President of the Intermingling of Ifugao Body and Brotherhood Association, Inc. (IIBBA), has asked Ifugao residents in Baguio not to be sidetracked by the issues that tend to divide, instead of unifying them.
Ballogan reached out to the Midland Courier to air his side and clarify some of the claims made by Ifugao Brethren (FIB) headed by David Dumangeng at the city council and which was published in the paper in its April 23, 2023 issue.
The two groups could not settle their differences on the celebration of the Ifugao Day, which was set on April 29.
Dumangeng’s group asked the city council to help them settle their differences, especially on the use of the Ibaloy Heritage Garden as venue for the Ifugao Day and eventually for the groups to unite and conduct their events as one group.
Ballogan said he was for unity, which is the very reason he worked hard to form a group that would unite the Ifugaos residing in Baguio.
This is also why he gave up his reservation of the Ibaloy Garden and opted to have his group hold their version of the Ifugao Day at the Igorot Garden so the FIB can use the area and prevent aggravating the problem.
Ballogan said it is not true that he evaded invitations by the FIB for them to sit together and settle their concerns and talk about uniting.
“I sent my representatives to the meetings they initiated because I want to make it clear that when we meet, we will talk about uniting our groups, but that is not what they are discussing during meetings,” Ballogan said.
He said he is willing that the two groups merge and promote the interest of all the Ifugaos in Baguio, not just the personal interests of the officers.
The IIBBA and FIB used to be one group, but Ballogan said during the times he went to Banaue, Ifugao to seek an elective post, Dumangeng’s group elected new officers, in violation of the by-laws about the qualifications of officers.
He said Dumangeng became president of the group by virtue of succession when the elected head resigned from her post due to criticisms by members and officers of IIBBA chapters who said she was not qualified to become a federation president.
Ballogan said what’s happening with the Ifugao groups now is unfortunate, considering that his intention in forming the group was to unite all the Ifugaos.
“I worked hard to organize the Ifugaos residing in Baguio in 2004, because I wanted to replicate the unity of the people from Mountain Province who are always ready to help their provincemates who are in need or get together for fellowship,” he said.
He added he wants the Ifugaos in Baguio to be united and also look after each other and work together to promote and protect their culture.
The IIBBA and FIB staged the Ifugao Day on separate venues.
Earlier, the city council tasked the committee on indigenous peoples chaired by Councilor Maximo Hilario Edwin, Jr., to sit down with the groups and help them resolve their differences.
The councilor asked the two groups to settle their differences so that they can hold the Ifugao Day as one group. – Jane B. Cadalig



",ifugao group claims made group council earlier seek help differences ballogan president ifugao iibba asked ifugao ballogan claims made ifugao fib dumangeng council two groups settle differences ifugao day dumangeng group asked council help settle differences use ibaloy garden ifugao day groups unite one group ballogan said unity worked hard group unite ifugaos residing also ibaloy garden group hold ifugao day garden fib use ballogan said fib sit together settle talk uniting meetings talk uniting groups meetings ballogan said said two groups promote ifugaos officers iibba fib one group ballogan said ifugao seek post dumangeng group elected officers officers said dumangeng president group elected post officers iibba said president ballogan said ifugao groups group unite ifugaos worked hard ifugaos residing unity help together said ifugaos also together promote iibba fib ifugao day earlier council councilor sit groups help differences councilor asked two groups settle differences hold ifugao day one group
14,Human rights defenders ordinance in city pushed,2023-04-30,"Amid various complaints related to red-tagging, threats, and harassment, the city council committee on laws and human rights has filed a proposed ordinance establishing protective mechanisms for human rights defenders in the city.
The city council approved the proposed ordinance on first reading last April 17 during its regular session.
According to Councilor Peter Fianza, chairperson of the committee, human rights defenders and progressive groups in the city have experienced human rights violations such as political vilification, unfounded red-tagging and terrorist-labeling, harassment, and intimidation.
He said these incidents had been reported to the city government and Commission on Human Rights.
Fianza said activists and human rights groups in the city such as the Cordillera Youth Center, Tongtongan ti Umili, Youth Act Now Against Tyranny Baguio-Benguet, and Cordillera Human Rights Alliance have been seeking redress and lobbying to the city council since 2018 for policies and programs protecting and promoting human rights in the city. 
The proposed ordinance seeks to protect human rights defenders in the city while awaiting the enactment of a human rights defenders’ law. 
“Baguio City commits itself as a safe space for everyone, nurturing vibrant democracy and good governance,” Fianza said.
The ordinance, once enacted, shall declare the rights and freedom of human rights defenders in the city. 
These rights and freedom are the right to promote and protect human rights and fundamental freedoms; right to form groups, associations, and organizations; right to solicit, receive, and use resources; right to seek, receive, and disseminate information; right to develop and advocate for human rights ideas; right to communicate with non-governmental, governmental, and intergovernmental organizations;
Right against vilification; right to access, communicate, and cooperate with international and regional human rights bodies and mechanisms; right to participate in public affairs; right to peaceful assembly; right to represent and advocate; right to privacy; freedom from intimidation or reprisal; right to seek or establish a sanctuary for human rights violation victims and their families; and
Freedom from defamation and stigmatization; right to exercise cultural rights and development of personality; and right to effective remedy and full reparation.
The ordinance shall also impose the obligations of public authorities in protecting human rights defenders in the city. 
These obligations include providing free access and promote materials related to human rights and fundamental freedoms; securing the non-disclosure of the sources used by human rights defenders; preventing human rights violations and ensuring protection from intimidation or reprisal; penalizing intimidation or reprisal;  desisting from derogatory and unfounded labeling; ensuring protection from arbitrary or unlawful intrusion and interference; not participating in violating human rights and fundamental freedoms; assisting in investigation; adopting human rights based governance; and promoting advocacies related to human rights.
The protective mechanisms for human rights defenders under the ordinance have four components. 
The first component is the coordination and cooperation among the city government and CHR-Baguio field office, and civil society organizations for the streamlining of human rights education and investigation of complaints on human rights violations.
The second component is the establishment of a sanctuary for high risk human rights defenders, human rights violation victims, and their families. 
The third component is the provision of psychosocial assistance for high risk human rights defenders, human rights violation victims, and their families.
The fourth component is the campaign against derogatory and unfounded labeling.
Under the ordinance, freedom parks shall be identified. These declared freedom parks may be used for peaceful assemblies.
The ordinance also contains provisions on community-based campaigns on human rights and human rights defenders; integration of activities under this ordinance into the City Development Plan and Local Youth Development Plan; and commemoration and memorialization of human rights defenders and human rights violation victims. – Jordan G. Habbiling



",complaints related red tagging harassment council committee human rights proposed ordinance protective mechanisms human rights defenders council proposed ordinance first fianza committee human rights defenders groups human rights violations vilification unfounded red tagging labeling harassment intimidation said government human rights fianza said human rights groups cordillera youth youth cordillera human rights council protecting promoting human rights proposed ordinance protect human rights defenders human rights defenders governance fianza said ordinance shall rights freedom human rights defenders rights freedom right promote protect human rights fundamental freedoms right groups organizations right receive right seek receive right advocate human rights right communicate non governmental governmental organizations right vilification right access communicate human rights mechanisms right public right peaceful right advocate right freedom intimidation reprisal right seek sanctuary human rights violation victims families freedom right rights development right ordinance shall also obligations public protecting human rights defenders obligations access promote related human rights fundamental freedoms non used human rights defenders human rights violations ensuring protection intimidation reprisal intimidation reprisal derogatory unfounded labeling ensuring protection human rights fundamental freedoms investigation human rights based governance promoting related human rights protective mechanisms human rights defenders ordinance first component government organizations human rights investigation complaints human rights violations component sanctuary high risk human rights defenders human rights violation victims families component high risk human rights defenders human rights violation victims families component derogatory unfounded labeling ordinance freedom parks shall freedom parks used peaceful ordinance also based human rights human rights defenders ordinance development plan youth development plan human rights defenders human rights violation victims
15,Prof opens solo exhibit,2023-04-30,"A professor opened her solo art exhibition at the Baguio Museum, Inc.
Jenny Marsha Agtani opened an exhibit entitled Mimesis on April 23 to share her work to the public. The exhibit runs until May 23.
Agtani’s exhibit showcases the pieces she made during her coffee breaks, sleepless nights, or when inspiration hit her during the Covid-19 pandemic.
The art pieces are watercolor-based portraits of her family members, friends, and actors from movies and dramas, and even people from the government.
Mimesis is inspired by the dramas and movies she watched during the lockdown.
Agtani started drawing when she was five years old, exploring different mediums in painting when she was in high school.
Mimesis is the process of imitation or mimicry through which the artist portrays and interprets the world. – Alexia Pascual



",opened art agtani opened exhibit mimesis exhibit agtani exhibit pieces art pieces movies dramas mimesis dramas movies agtani mimesis
0,CBAO COMMENDED,2023-04-23,"CBAO COMMENDED — Mayor Benjamin Magalong, Rep. Marquez Go, Vice Mayor Faustino Olowan, and members of the city council commended the City Buildings and Architecture Office for its execution of the design of the city’s “Rising Phoenix” float during the Panagbenga 2023, which symbolizes rebirth and transformation. The resolution was received by Engr. Stephen Capuyan. — Neil Clark Ongchangco



",commended mayor mayor commended
1,2 Ifugao groups seek council help in settling differences,2023-04-23,"Here’s a case of two groups representing indigenous peoples from one province asking the city council to help them settle their differences.
Two organizations representing the Ifugaos living in Baguio City have sought the council’s intervention so they could settle their differences on who should lead the Ifugao Day celebration in the city on April 29.
The council invited the Federation of Ifugao Brethren (FIB) headed by David Dumangeng and the Intermingling of Ifugao Body and Brotherhood Association (IIBBA) led by Raul Ballogan, to clarify why the two groups are separately celebrating the Ifugao Day celebration.
Dumangeng said it is unfortunate and shameful for them to be asking the council’s help on a trivial matter, but they were hoping it was the best way to settle their differences.
The celebration on April 29 is by virtue of a 2019 city council resolution that designated the second Saturday of April as Ifugao Day celebration in Baguio to be held at the Ibaloy Heritage Garden at Burnham Park.
Both organizations have requested the use of the Ibaloy Garden, but Ballogan, in a letter, said his group, the IIBBA found another venue where they could hold the program separately from the FIB.
Dumangeng told the council they have met several times to hopefully resolve their differences and agree on having only one celebration in one venue, to no avail.
“It may be a shame on us, elders, but it is our hope that with your help, the all the Ifugaos in Baguio will come together and celebrate the Ifugao Day as one,” Dumangeng said.
The councilors said the best people who could settle the matter are the members of the two groups themselves.
CouncilorsVladimir Cayabas and Arthur Allad-iw said the council could only advise them to resolve their differences.
“Remember that you are privileged to have been designated a day where you can celebrate here in Baguio. Not all groups from the different provinces living in the city are given a day to showcase their culture,” Cayabas said.
Councilor Peter Fianza said it is unfortunate the Ifugao groups that helped resolved the issues of the Ibaloys on who should be the rightful indigenous peoples mandatory representative are now the ones being divided.
“Settle this matter among yourself. If you were able to do it for the Ibaloys, why not do it for yourselves,” Fianza told the FIB and IIBBA representatives.
Councilor Isabelo Cosalan, Jr. asked the groups if they were amenable to move the celebration of the Ifugao Day instead to Sept. 2 to coincide with the celebration of the Victory Day that commemorates the victory of Filipino soldiers that fought along the Americans to liberate the country from the Japanese.
Cosalan said this would give time for the two groups to resolve their issues, but the groups said they wish to pursue the April 29 celebration this year and consider the suggestion later on.
The city council committee on indigenous peoples chaired by Councilor Maximo Hilario Edwin, Jr., was tasked to sit down with the groups and help them resolve their differences. – Jane B. Cadalig



",two groups representing indigenous peoples one asking council help settle differences two organizations representing ifugaos living council could settle differences ifugao day celebration council ifugao fib dumangeng ifugao iibba ballogan two groups separately ifugao day celebration dumangeng said unfortunate asking council help matter best settle differences celebration council designated ifugao day celebration ibaloy garden organizations ibaloy garden ballogan said iibba venue could separately fib dumangeng told council resolve differences one celebration one venue help ifugaos celebrate ifugao day one dumangeng said said best could settle matter two groups cayabas said council could resolve differences designated day celebrate groups living day cayabas said councilor fianza said unfortunate ifugao groups issues ibaloys indigenous peoples settle matter ibaloys fianza told fib iibba councilor cosalan groups celebration ifugao day celebration victory day victory cosalan said two groups resolve issues groups said celebration council indigenous peoples councilor groups help resolve differences
2,TUPAD CLEAN-UP,2023-04-23,"TUPAD CLEAN-UP — Every Friday, residents of BGH Compound led by Punong Barangay Ronaldo Garcia and Kagawads Elaine Lenor Rivera, Marylou Aquino, Nomer Quijon, Rolando Padilla, Roland Lester Ramos, Milagros P. Cosme, and Ruby Tamondong conduct cleaning activities in the barangay — Joshua Walitang



",barangay barangay
3,"Stipend for college students in Baguio increased to P10,000",2023-04-23,"Students in Baguio who are qualified under the city government college financial assistance program will receive higher stipend every semester.
The city council has approved the amendment to the College Education Financial Assistance Grant Program that increased to P10,000 from P6,000 the allowance given to qualified beneficiaries.
Upon the recommendation of the committee on appropriations and finance cluster A, the council approved the allocation of P20 million annually for the program to be included in the budget of the City Social Welfare and Development Office (Cswdo).
In 2020, the program was allotted P10 million.
The steering committee was also reconstituted to include representatives from the city mayor’s office; vice mayor’s office; the council committee chair on social services, women, and the urban poor; the Commission on Higher Education, Technical Education and Skills Development Authority; and school representatives.
Under the amended implementing rules and regulations, students enrolled in universities outside Baguio may qualify for the financial assistance provided that they are enrolled in a state university and college and in private higher educational institution that offers courses, which are not available in universities in Baguio.
They should also include the curriculum checklist in their application.
Grantees will receive a maximum number of their assistance based on their curriculum checklist in which those who are enrolled in technical/vocational courses good for seven to 10 months will receive one payout while those enrolled in tech/voc courses good for 11 months to two years will receive two payouts.
Those enrolled in a four-year course will have a maximum of eight payouts and those taking a five-year course will get a maximum of 10 payouts and 12 payouts for students enrolled in a six-year course.
Scholars who want to shift to other courses will continue enjoying the benefit provided they submit a certification that 80 percent of their subjects are credited.
They should also undergo counseling with a social worker.
Grantees who fail to meet the requirements without updating the city government for two semesters will be dropped from the program.
Those who incurred failing grades may be retained in the following semester provided they only failed a maximum of two subjects and will pay at their own expense should they decide to enroll for the short term.
Students who incurred failing grades in the succeeding semester will no longer qualify for the financial assistance.
Those who are having their on-the-job training and having their research subjects can still claim their financial assistance if they incur an incomplete grade, provided that they pass those subjects at the end of the school year.
The financial assistance program is meant to help underprivileged but deserving students who are residents of Baguio. – Jane B. Cadalig



",students qualified government college financial assistance program receive higher semester council approved college education financial assistance program qualified committee council approved million program social development office program million committee also include representatives mayor office mayor office council committee social higher education technical education development school representatives students enrolled universities qualify financial assistance provided enrolled college higher courses universities also include curriculum checklist grantees receive maximum assistance curriculum checklist enrolled technical courses good months receive enrolled courses good months two receive two payouts enrolled year course maximum payouts year course maximum payouts payouts students enrolled year course courses provided subjects also social grantees government two program incurred failing grades semester provided maximum two subjects students incurred failing grades semester qualify financial assistance subjects financial assistance provided subjects school year financial assistance program students
