,title,date,content
161,Dads to probe disputed Irisan lot for OCSWD,"APRIL 2, 2023","  A city council committee was tasked to look into the validity of the agreement that transferred the possession of a lot in Barangay Irisan to the Office of the City Social Welfare and Development (OCSWD).
The council tasked the committee on laws to study the deed of donation that allowed the OCSWD to own a 5,000 square-meter of lot where the office has put up structures for the youth, the elders, and rebel returnees, among others.
The lot was donated in 2001 by the heirs of Felipe Pucay, through Elsie Kiwas-Pucay.
The heirs of Frumencio Salda sought the council’s intervention, saying as co-heirs, they were not consulted when Elsie Pucay signed the deed of donation.
The heirs of Salda are claiming more than 1,200 square meters of the lot donated to the OCSWD.
Pucay reportedly signed the deed of donation as the administrator and not as the sole heir of Pucay.
OCSWD representative Nestor Mestito, who also appeared before the council, said the claim of the Saldas has been decided by the court, which ruled in favor of the city.
He said the case for recovery of possession, which was filed by the late Frumencio Salda, was dismissed and the latter did not appeal the decision.
He said the decision noted the Saldas were not able to prove their prior possession of the land they are claiming.
The heirs of Salda however said they have been occupying the land for decades as it is where they derive their livelihood through farming.
The claimants are also asking the OCSWD to open the portion that the office enclosed to allow them passage and facilitate the transport of their agricultural produce.
Mestito said after the deed of donation, they installed a perimeter fence to secure the area, which accommodates children, among others.
Councilor Isabelo Cosalan, Jr. said there is a need to further study the validity of the deed of donation executed by Pucay since the other owners who have claims over the lot were not consulted.
The city council also requested OCSWD and the City Buildings and Architecture Office to reopen the road used by the claimants as passage route, pending the resolution of the dispute.
The city committee on laws, human rights, and justice chaired by Councilor Peter Fianza will inspect the area and conduct a public consultation among the parties concerned, including the National Commission on Indigenous Peoples. – Jane B. Cadalig with a report from Jordan Habbiling  "
162,DILG-CAR beefs up ties with partners,"APRIL 2, 2023","  The Department of the Interior and Local Government-Cordillera is strengthening its partnership with various stakeholders in capacitating the local government units to be responsive and self-reliant organizations. This is pursuant to DILG Memorandum Circular 2022-052 for the operationalization of knowledge management in local governance through the local governance resource centers. The memorandum states with the issuance of Executive Order 138, which laid out the mechanisms of full devolution, there is a need to capacitate the LGUs in taking full responsibility over devolved functions. DILG-CAR Assistant Director Ruperto Maribbay, Jr., during the Local Governance Regional Resource Center-CAR (LGRRC) Multi-Stakeholder Advisory Council (MSAC) first quarter meeting on March 29, said there is a need to have constant collaboration among stakeholders towards the realization of their objective of promoting good governance and effecting delivery of services to the people of the region. “The Covid-19 pandemic has highlighted the need for more innovative and efficient ways of delivering public services for effective local governance. As stakeholders, we must continue to adapt to these changing circumstances and find ways to improve our services and programs,” Maribbay said. The discussion focused on the forging of memorandum of agreement between the DILG-CAR and its partner institutions for the attainment of the mentioned objectives. The DILG laid out possible partnership engagements to the center for collaborative governance initiative. “I am confident with our collective efforts and of course, our dedication in showcasing our respective expertise, our innovations and best practices with our hope that this will be packaged and replicated especially by our local government units, we can overcome the challenges that lie ahead and continue to make progress towards our shared goal of building better, more responsive, and more accountable local governance systems in the Cordillera,” he added. The DILG-CAR will group the agencies and other stakeholders into clusters to specify their functions in the MOA. Once polished and finalized, the DILG-CAR targets to hold the MOA signing in the second quarter meeting of the MSAC. The MSAC functions as an advisory panel and as the technical working group of the LGRRC. It is composed of the academe, non-government organizations, leagues, private organizations, local resource institutions, and regional line agencies. The LGRRC serves as a delivery mechanism of the DILG in implementing programs aligned to its outcome framework. The LGRCs’ main services include capacity development; multimedia, knowledge and information; public education on good governance and citizenship development, and linkages and/or networking services. They may also offer other services such as research and innovations, assisting LGUs in knowledge management, and academic collaborations to advance its social and economic contributions. – Debbie E. Gasingan  "
163,Lubuagan’s 10th Laga Festival revives traditional weaving,"APRIL 2, 2023","LAGA FESTIVAL — The municipality of Lubuagan, Kalinga celebrated the 10th Laga Festival that featured various festive events such as cultural music, dances, agro fair, sports, fashion, civic events, fashion show, pageantry, and food tasting and competition. Launched in 2011, the Laga Festival became an annual event in Lubuagan in celebration of the time-honored cultural expression of traditional art work as the people’s dignified source of income, livelihood, and employment. — Dave Leprozo, Jr.  After a three year hiatus due to the Covid-19 pandemic and suspension of all festivals and crowd gathering events, the 10th Laga Weaving Festival hosted by the municipality of Lubuagan in Kalinga is back on track as one of Kalinga province’s longest running and sought after festivals. A colorful and sterling cultural dance and music ensemble performance by Lubuagans was highlighted on March 30 with performances replete with colorful traditional Kalinga regalia and musical rendition of Kalinga musical ensembles. Department of Tourism Usec. Ferdinand  Jumapao, the event’s guest of honor; Kalinga Gov. James Edduba, and Lubuagan officials and other guests joined the traditional Kalinga dance tachok chi umili. The annual Laga Festival is a 10-day event featuring cultural music, dances, agro fair, sports, fashion, civic events, fashion show, pageantry, and food festivals. Launched in 2011, the Laga Festival became the annual festival of Lubuagan in celebration of the time-honored cultural expression of traditional art work as their dignified source of income, livelihood, and employment. With the vanishing weaving communities of Kalinga, the village of Mabilong in Lubuagan has sustained the traditional backstrap weaving techniques including its designs and patterns hence became the major weaving center in the province. – Dave C. Leprozo  "
164,Market entrepreneurs receive more assistance from DSWD,"APRIL 2, 2023","ASSISTANCE TO MARKET ENTREPRENEURS — A total of 996 vendors received on March 25 educational assistance ranging from P5,000 to 10,000 from the offices of Senators Bong Go and Robinhood Padilla. A total of 236 more who are yet to complete their requirements stand to receive the same grant. The aid amounting to P5 million to P10 million were released through the Assistance to Individuals in Crisis Situation program of the DSWD headed by Secretary Rex Gatchalian. — Neil Clark Ongchangco  Qualified market entrepreneurs victimized by the March 11 fire received more financial assistance from government agencies and offices last week.
A total of 355 eligible affected merchants received P10,000 livelihood assistance from the Department of Social Welfare and Development headed by Secretary Rex Gatchalian through the initiative of Mayor Benjamin Magalong.
The mayor through the Office of the City Social Welfare and Development Office requested for the livelihood settlement grant through the Sustainable Livelihood Program of the DSWD to help the victims recover from their economic losses.
The request was facilitated by the DSWD Cordillera.
“The grant will be an important and useful component for the immediate recovery of the victims from the fire incidents through the reestablishment of their existing micro-enterprises,” the mayor said.
OCSWD head Liza Bulayungan said the grantees, who were classified as “near-poor”, were pre-qualified based on the criteria set under the DSWD program.
Last March 25, a total of 996 fire victims were awarded educational assistance with amounts ranging from P5,000 to P10,000 from Senators Bong Go and Robinhood Padilla who each contributed P5 million for the assistance released through the Assistance to Individuals in Crisis Situation program also of the DSWD.
Bulayungan said a total of 236 more stand to receive the same grant pending completion of the requirements.
There were around 1,300 vendors affected by the fire but not all qualify to the assistance and grants based on the criteria and guidelines set forth.
The mayor thanked the DSWD secretary, senators Go and Padilla, and DSWD Regional Director Leo Quintilla for the financial assistance.
“In behalf of the city’s officialdom and constituents, we extend our heartfelt thanks to senators Go and Padilla, as well as Secretary Gatchalian and RD Quintilla for working out financial and livelihood aids and immediately making sure that assistance will reach the beneficiaries at the time that it is most needed. Your kind gesture and empathy is depply appreciated,” the mayor said. – Aileen P. Refuerzo  "
165,PLGU plans passing mgmt of Bodong Fest to private sector,"APRIL 2, 2023","  TABUK CITY, Kalinga – The provincial government is considering passing to local stakeholders and the private sector the management of the Bodong Festival, similar to Baguio City’s Panagbenga Festival.    Gov. James Edduba broached the idea of establishing partnership with the private sector in running the internationally acclaimed cultural fiesta.  “Papigsaen tayo ti partnership tayo with the private sector. Let us give them the chance to run the succeeding editions of the festival. This way, local and private stakeholders will have greater opportunities. Napintas nga pagrugyan daytoy international record tayo – rason nga pangipromotean ti ili tayo,” Edduba said during last week’s regular flag ceremony. Edduba was referring to the two Guinness World Records of “Largest Gong Ensemble” and “Largest Banga Dance” set by Kalinga during the 4th Bodong Festival in February.  “We keep working as one, we keep working as a family. The goal of celebrating this year’s festival was met. The province had been receiving appreciation posts from media networks, same good feedbacks coming from local citizens and from other provinces and other countries,” he said.  Edubba said the festival did not only boost the morale of the people but it also helped boost  the economy, tourism, and agriculture after two years of quarantine due to the Covid-19. It also preserved and promoted the Kalinga way of life, placed Kalinga in international records, and showed the world how peaceful the province is.  The Bodong Festival, which is celebrated alongside the foundation anniversary of the province, is run by the provincial government.   Riding on its success in entering the Guinness World Records, the provincial government is strategizing ways to level up the tourism industry through strengthened partnerships with the tourism stakeholders and entities. – Peter A.  Balocnit  "
166,CSC gives civil service exam for PMA cadets for the first time,"APRIL 2, 2023","  The Civil Service Commission administered the career service examination for cadets of Philippine Military Academy for the first time last week. CSC-Cordillera Director Nerrisa Canguilan said 305 first class cadets and four officers including two colonels, a lieutenant colonel, and a navy commander took the exam last March 26  at Fort del Pilar. Canguilan said the CSC and the PMA are planning to ask Congress to pass a law that will grant a special eligibility for PMA graduates that they can use when they apply for a position in the civil service after retirement. Canguilan said based on their experience, there were those who applied or were hired as provincial or city administrators but due to lack of eligibility, were either disqualified or their appointments disapproved. “Some officials retire early and get appointed to positions like administrators (in local government units) and the like but their appointments are disapproved due to lack of eligibility,” she said. The CSC said 381,735 individuals took the pen and paper test for professional and sub-professional levels conducted at several testing centers nationwide with more than 15,000 examinees in the Cordillera. CSC Chair Karlo Nograles said the March 26 exam could be the biggest turnout the CSC has had for a single pen and paper test schedule. Top CSC officials visited various testing centers to inspect the actual operations of the exam, with Commissioner Aileen Lourdes Lizada, Examination, Recruitment, and Placement Office Directors Prisco Rivera, Jr. and Cherry Berris visiting the Baguio testing centers. Results of the March 26 exams will be released on or before May 25. The next exam will be on Aug. 13. Application period is from May 15 to June 14. – Debbie E. Gasingan  "
167,LIGHT MOMENTS,"APRIL 2, 2023","LIGHT MOMENTS — Sans bodyguards, elected officials and government executives in Mountain Province led by Rep. Maximo Dalog Jr. share light moments while waiting for the kickoff program of the 16th Lang-ay Festival and 56th founding anniversary of the province in Bontoc last week. — MP PIO photo    "
168,PDEA-CAR suggests adopting drug-free workplace program,"APRIL 2, 2023","  The Philippine Drug Enforcement Agency-Cordillera is recommending the adoption of the Drug-Free Workplace Program (DFWP) of the Department of the Interior and Local Government Region 12. During the 1st Quarter Inter-agency Committee on Anti-Illegal Drugs (ICAD) Advocacy Cluster meeting in March 28, Rosel Sarmiento of the PDEA-CAR said under the program, local government units will be subjected to an assessment process based on criteria, monitoring, and evaluation by a committee. A drug-free workplace seal will be awarded to an LGU that complied with the parameters set by the committee. “Itong program na ito ay para sa LGUs na makaka-receive ng award dahil sa board regulation, wala pong mandate na magbigay ang PDEA or DDB (Dangerous Drugs Board) ng drug-free workplace certificate. Isa ito sa lagi nating hinahanap,” Sarmiento said. Anti-Drug Abuse Council Technical Assistant Jean Caoili-Kimbis said the DILG-CAR has already discussed the possible replication of the DFWP.  “For collaborations, meron naman kaming contact ng focal person sa Region 12. Puwede tayong makipag-coordinate sa kanila at maaari rin natin silang imbitahan upang mapag-usapan,” Kimbis said. It was agreed in the meeting that the matter will be elevated to the regional Inter-Agency Committee on Illegal Drugs for further discussion. The PDEA-CAR and its partners continue to campaign for the DFWP. In 2018, the DDB issued Board Regulation 13 which aims to promote the establishment and institutionalization of drug-free workplace policies in all government agencies and ensure all public officers, both elective and appointive, remain drug-free through the conduct of authorized drug testing pursuant to the Comprehensive Dangerous Drugs Act of 2022. – Debbie E. Gasingan  "
169,BFP finds electrical issue as cause of Pilando fire,"APRIL 2, 2023","  Investigators of the Bureau of Fire Protection have identified electrical arcing as the main cause of the fire that transpired at the Pilando Center Building in Lower Magsaysay on March 26.
After an ocular at the battery room of the establishment’s solar system, Senior Fire Officer 3 Jose B. Dagson said electrical arcing happens when an energized electrical wire sticks to a conductor such as iron or electrical wire or when a circuit becomes overloaded and overheats.
For the structural fire at the Pilando building, Dagson said they saw an indication of an electrical surge which caused the ignition of fire.
Common electrical problems where arcing may occur include plugs that are loose in the outlet, outlets that do not work, lights that dim or flicker, tripping circuit breakers, hot or smoking outlets or switches and light bulbs that burn too often.
Dagson said further investigation will be conducted with physical evidence such as electrical wirings, a terminal of the battery, and welded part of the steel shelf from the battery to be sent to their headquarters for laboratory analysis.
Cost of damage was estimated at P5 million.
BFP Baguio Chief of Operations Insp. Bartolome Cacamo is grateful that the incident was reported immediately by building maintenance personnel Brenan Nahaman when he noticed dark smoke emanating from the battery room of the building around 6 p.m.
Tenants and shoppers were also promptly evacuated until fire out was declared at 6:40 p.m.
Cacamo also thanked volunteer responders particularly the Baguio Water District, Sunshine Fire Brigade, the Baguio City Police Office, as well as barangay officials of Lower Magsaysay. – Jessa Mardy Samidan with Joshua Walitang and Alpha May Patacsil  "
170,IBP elects new officers,"APRIL 2, 2023","  The Baguio-Benguet chapter of the Integrated Bar of the Philippines elected its new set of officers whose term began on April 1 and will end in April 2025.
The new set officers is led by Jose Mari Molintas – president; Brenner Bengwayan – vice president; retired judge Adolfo Malingan – treasurer; Jado Rafael Bognadon – auditor; Alma Okko – secretary; and Elmer Manuel Sagsago – public relations officer.
The board of directors are Juliet Sapling-Imperial, Jefferson Cosalan, Ronald Perez, George Baywong III, and Jeffrey Mendoza.
Mayor Benjamin Magalong administered the oath of office of the new officers on March 20.
Meanwhile, the IBP congratulates 12 graduates from the Law schools of Saint Louis University, University of the Cordilleras, and University of Baguio on their appointment as municipal trial court judges.
They are Mary Jane Andomang, Ana Cristina Quiroz, Florimae Imperial, James Fernandez, Dennis Ferrer, Romelyn Alinao, Rhodora Dangz, Romelyn Kimmayong, Carlo Benedict Nagpala, Rowena Lorenzana, Marianito Gayaman, and Maria Lourdes Esperanza Soriano.
The IBP is the official organization of all Philippine lawyers established through Republic Act 6397, which confirmed the power of the Supreme Court to adopt rules of court to effect the integration of the Philippine Bar.
Presidential Decree 181 promulgated on May 4, 1973 constituted the IBP into a corporate body by providing government assistance for the accomplishment of its purposes. – Rimaliza A. Opiña  "
171,Agencies join mtgs of 3 brgys,"APRIL 2, 2023","  LAMUT, Ifugao – Representatives from some government agencies in the province participated in the 2023 first semester barangay assembly of three barangays in the municipality of Tinoc. Personnel of the Department of the Interior and Local Government, Philippine Information Agency, 54th Infantry Battalion, Philippine National Police, Bureau of Fire Protection, and provincial and the municipal local government units presented their programs and services to hundreds of villagers of Luhong, Gumhang and Binablayan. These barangays   are recipients of the Support to Barangay Development Program projects under the National Task Force to End Local Communist Armed Conflict.  DILG Sec. Benhur Abalos, Jr., in a message conveyed by a representative, lauded the barangay LGUs for their continuous support to all the programs of the national government as he encouraged the community to join in the fight against illegal drugs.   Under the Local Government Code, barangays are required to hold a barangay assembly every semester to keep their constituents abreast in the undertakings of the barangay government, especially on its spending. Through the assembly, residents are also given a venue to air their concerns and problems in their community. The theme of the 2023 first semester barangay assembly is “B-BIDA KA! Barangay BIDA, Kasama Ka sa Pagpapatupad ng Kapayapaan, Pangangalaga ng Kalikasan at Pagpapaigting ng Pagkakaisa tungo sa isang Ligtas, Mapayapa, Maunlad at Masaganang Pamayanan.” – Marcelo B. Lihgawon  "
172,BAGUIO’S FINEST,"APRIL 2, 2023","BAGUIO’S FINEST — Police Regional Office-Cordillera Director B/Gen. David K. Peredo, Jr. presents the officers and personnel of the Baguio City Police Office led by Director Col. Francisco Bulwayan and his deputy for administration Lt/Col. Baldwin Sokoken when the former made his first command visit to the home of the Baguio’s Finest on March 31. Peredo hailed the BCPO for its efficient and effective peacekeeping efforts. — Harley Palangchao   "
173,Dads urge speedy process for subdividing prvt lots,"APRIL 2, 2023","  Members of the Baguio City Council, during the regular session last March 27, called on the City Planning and Development Office (CPDO) to relax the process and requirements in subdividing titled residential lots.
The councilors stressed that the cumbersome process and excessive requirements place too much burden on applicants who simply want to partition their lots for residential purposes. 
Councilor Jose Molintas said the applicants are required by the CPDO to submit a development plan for the issuance of a development permit with total fees amounting to P1,500. All these requirements and fees when the applicants only intend to subdivide the lot into two, he said. 
Councilor Benny Bomogao said all the cumbersome procedures are in contravention with the Ease of Doing Business Act.
The councilors claimed the onerous process undertaken by the CPDO in subdividing residential lots can be traced to the office’s misinterpretation of Ordinance 63 s. 2016.
Asked about the legal basis for all these requirements, Elias Aoanan, CPDO representative, cited Section 22 of the ordinance which states that “…all owners and/or developers of subdivision projects shall, in addition to securing a locational clearance, be required to secure a development permit…”
The councilors said the CPDO should know the difference between “subdividing a simple residential lot” and “subdividing a lot for commercial purposes.” While the latter requires the issuance of a locational clearance and a development permit as prescribed in the ordinance, the former does not require such as it has no legal basis. 
Councilor Isabelo Cosalan Jr. said the concerned offices should fully understand the law in order to implement it based on its actual intent.  
Aoanan said they had already waived some of the requirements such as the submission of a topographic map. 
Meanwhile, representatives of the Department of Environment and Natural Resources said they only require the updated copy of the title, a geodetic engineer waiver, and a verification fee of not more than P25 for the approval of the subdivision of a titled lot into two which is not intended for commercial and selling purposes.
During the session, it was also made clear that the power to approve subdivision plans for residential, commercial, or industrial purposes and other development purposes is granted to the city council.
Under Section 447 of the Local Government Code, the Sangguniang Panlungsod shall “process and approve subdivision plans for residential, commercial, or industrial purposes and other development purposes.”
Also, Executive Order 71 states the local government unit shall approve the “subdivision schemes and development plans of all subdivisions, residential commercial, industrial and for other purposes of the public and private sectors” in accordance with the provisions of Presidential Decree 957, as amended.
This is one of the powers of the Housing and Land Use Regulatory Board devolved to the local government unit by virtue of EO 71.
Cosalan questioned the approval of the DENR for subdivision surveys/plans when the application did not pass through the preliminary approval of the council and the CPDO.
The DENR representatives explained that they have Presidential Decree 957 and Batasang Pambansa 220 as their legal bases in approving subdivision surveys/plans.
Cosalan said all these procedures in approving subdivision plans/surveys and simple subdivision undertaken both by the DENR and the city government should be “harmonized.”
The city council, through a resolution, urged the CPDO to convene the city’s subdivision monitoring team to create a flowchart detailing the procedures in approving subdivision plans. The flowchart should indicate that simple subdivision of residential lots should not pass through the process as required by Ordinance 63, s. 2016. – Jordan G. Habbiling  "
174,UC FAMILY DAY,"APRIL 2, 2023","UC FAMILY DAY — Senior High School students of the University of the Cordilleras performed during the UC-SHS Family Day on March 30, which was timely as the Department of Education and its partners such as the Department of Health are pushing for more activities that will further strengthen the bonds between learners and their parents. — Harley Palangchao   "
175,Task force focusing on mental health ordered,"APRIL 2, 2023","  Mayor Benjamin Magalong ordered the creation of a task force to implement mental health advocacies and strategic programs in hopes of addressing mental health issues that led to the increase of suicide cases in the city.
The task force will be led by the City Health Services Office with the guidance counselors of the Department of Education, mental health advocates, and the Baguio City Police Office.
It will serve as the implementing arm of the Baguio City Mental Health Council which is the policy-making body also led by the CHSO.
The mayor wanted a holistic and proactive approach in addressing mental health problems not only focused among teens but encompassing all ages and gender.
The mayor said he was no stranger to the mental health problem, having experienced the phase of guiding and protecting a family member who suffered from a depressive disorder.
“Malapit ang loob ko sa mental health issues kasi alam ko ang hirap at sakripisyo na kaakibat upang mapagwagian ang ganitong problema. We need to be patient and expand our understanding for our family members undergoing this illness. It’s the only way we can win,” Magalong said.
The mayor tasked the BCPO to help the CHSO in surveying the areas where suicide cases commonly occurred tracing back to 2017 using their Geographic Information System and the Crime Information Reporting and Analysis System.
“I want to understand the characteristics of these places so we can come up with better solutions. We might need to do structural redesigning of our facilities,” the mayor said.
Already rolling are capacity building activities to strengthen peer counseling programs especially for academe as well as information, education and communication campaigns to address mental health concerns, among others.
The helplines to call in case of emergency are CHSO – 0919-069-6361; Mental Health and Wellness Unit – (074) 661-7910; Baguio General Hospital and Medical Center Psychiatric Department – 0919-207-0736; Benguet General Hospital and Medical Center Psychiatric Department – 0917-899-8727, 0966-351-4518, and 0908-639-2672; National Center for Mental Health – 0995-093-2679 and 0918-402-9832; Philippine Mental Health Association Cordillera Chapter Inc. – 0917-517-2083 and (074) 442 2337.
Also, the city government’s 911 hotline is available to call 24 hours a day in case of emergency. – Jessa Mardy P. Samidan  "
176,BCPO’s ‘Oplan Kapkap-Bakal-Sita’ ongoing,"APRIL 2, 2023","  Personnel of the Baguio City Police Office-Station 7 conducted an Oplan Kapkap-Bakal-Sita on March 24 at a local shopping center where bars are located.
The operation is carried out to ensure that areas prone to disorder, crime, and problems caused by alcohol, rage, and other factors are monitored for the safety of the public. It is conducted daily from around six until midnight.
The operations include police doing searches of customers for possible weapons such as ice picks, knives, and even guns to prevent any untoward incidents that may cause harm to themselves and others.
“Operations like this truly help because it might be a tiring procedure to the police but it assures us that we are safe. When we go out with my friends we enjoy the night because we are not scared of what danger awaits us,” a customer of one of the establishments said.
A second-year female student taking Bachelor in Forensic Science added, “This should be mandatory because there are a lot of bars in Baguio and fights are prone in these establishments; mostly there are young people here.”
“ID should be properly checked at all establishments that offer alcoholic beverages making sure that customers are truly of age. There should always be proof of legality and birthdays should be easily seen. Bars that allow minors must be made accountable for their actions as there will be an increase of juvenile delinquency in Baguio,” she added.
The BCPO is encouraging the public to enjoy their evenings out with family and friends but reminding them to always drink moderately. – Joshua Walitang  "
177,City launches free wifi for all at public market,"APRIL 2, 2023","  As part of its Smart City and full digital transformation initiatives, the city government led by Mayor Benjamin Magalong launched the free public wifi last March 26 at the Baguio public market that intends to strengthen the digitalization of transactions, trade, and communications in and out of the area.
“This is a momentous occasion for our beloved city as it marks a significant step forward in our efforts to build a more connected and digitally empowered community,” Magalong said about the project that the city has been working on in partnership with Project Lightning of the National Transmission Corporation and in collaboration with Benguet Electric Cooperative.
City Mayor’s Office chief of staff Engr. Felipe Puzon, who also oversees the Management Information Technology Division, said Internet connectivity will be available from the Baguio Market Vendors Association office up to the rice section, Rillera building, and command post.
The project is the first wifi 6 roaming mobility in the country that is free for public use and has a service set identifier or SSID that covers 1.8 kilometers under one wifi access which is backward compatible to any kind of wifi-capable phone, Puzon said.
Magalong said benefits of the project will extend far beyond the convenience of free wifi access since this will strengthen online payments and connect customers with suppliers more easily, and that probably in time, “there will be no need to even come to the market to physically purchase items.”
He said after about four months since the launch of PalengQR, only 1,200 of the public market’s 3,900 entrepreneurs, are registered in the city’s digital payment system due to the lack of Internet connectivity, thus, the need for free wifi access.
“The pandemic has changed the way we live, work, and communicate, and it has underscored the importance of connectivity and access to information. With the launch of this free public wifi service, we are taking a bold step towards bridging the digital divide and ensuring all members of our community have access to the tools they need to thrive in the 21st century,” Magalong said.
The mayor said the initiative would not have been possible without the partnership of Project Lightning, “a team of dedicated professionals who share our commitment to making Baguio City a smarter and more connected place. Project Lightning will showcase what other local government units just dream about – wifi everywhere.”
“As we launch this free public wifi, let us remember that connectivity is not just a privilege, it is a fundamental human right. We must continue to work together to ensure that all members of our community have access to the resources they need to thrive in the digital age. Let us continue to work together to build a brighter and more connected future for Baguio City,” he added. – Gaby B. Keith  "
178,WOMEN’S MONTH CULMINATION,"APRIL 2, 2023","The observance and celebration of Women’s Month at Police Regional Office-Cordillera headed by B/Gen. Dave Peredo, Jr. culminated on March 27 with the awarding of seven female police officers and presentation of an all-women battalion formation. The event was graced by Civil Service Commission-CAR Director Nerissa Canguilan. — PRO-Cor photo    "
179,"Baguio adopts plan, zero informal settler families","APRIL 2, 2023","  The city government of Baguio is committed to helping informal settler families have livable homes and communities.
With this monumental vision, the city government has entered into a memorandum of understanding with the Department of Human Settlements and Urban Development (DHSUD) for the implementation of the Pambansang Pabahay para sa Pilipino: Zero Informal Settler Families (ISF) program for 2028.
The MOU was confirmed by the Baguio City Council during its regular session last March 27.
Baguio City has been chosen as one of the implementing sites of the Zero ISF program. Through the program, the DHSUD targets to build one million housing units per year or a total of six million housing units in a span of six years.
In support of the program, the city government shall identify and allocate parcels of land for the development of the housing projects for informal settlers.
This program would supplement the housing projects of the city government that are in the pipeline. The city government, through these projects, envisions a healthy ecosystem for informal settlers where they can conducively live, work, and thrive.
The Luna Terraces Socialized Housing and Resettlement Project is the city government’s first housing project for informal settlers. The project will prioritize the resettlement of informal settlers in the city who are underprivileged and those located in high risk areas. Two buildings for this project are now under construction.
In his statement earlier this year, Mayor Benjamin Magalong said the city targets the construction of multi-level buildings that will accommodate 8,000 to 10,000 families in various sites. The city is continually working on the acquisition of lots within and outside the city for its housing projects. – Jordan G. Habbiling w/ reports from Aileen P. Refuerzo  "
180,6 Ifugao LGUs cited for social programs,"APRIL 2, 2023","  LAGAWE, Ifugao – Six local government units in Ifugao received recognition for ensuring the effective and efficient delivery of social protection programs and services of the Department of Social Welfare and Development in the province. The DSWD awarded the Gawad Paglilingkod sa Sambayanan (Gapas) Award for Convergence Initiatives and the Level 3 Service Delivery Capacity Assessment to the LGU of Asipulo. The Kiangan LGU is a recipient of the Gapas Award for Model LGU Implementing Pantawid Pamilyang Pilipino Program while LGU Tinoc was conferred the Gapas Award for Model LGU Implementing the Kapit-Bisig Laban sa Kahirapan-Comprehensive and Integrated Delivery of Social Services-National Community-Driven Development Project. The Lagawe LGU is an awardee of the Service Delivery Capacity Assessment Level 3 award while the Banaue and Hingyon LGUs are recipients of the Paglaray Award for the promotion and monitoring of social welfare and development laws initiatives by the local social welfare and development office.   The Gapas Award recognizes the efforts of partners and LGUs in the effective delivery of social welfare and development programs and services. Level 3 is the highest award in the Service Delivery Capacity Assessment which measures the service delivery capacity of an LGU and local social welfare development offices in three major domains, namely administration and organization, program management, and institutional mechanism. Gov. Jerry Dalipog, together with the mayors, vice mayors, and municipal social welfare and development officers, received the awards during the awarding ceremony held in Baguio City on March 10 in celebration of the 72nd anniversary of the DSWD with the theme, “DSWD @72: Kaagapay sa Pagbangon, Katuwang sa bawat Hamon.” In congratulating DSWD, Pres. Ferdinand Marcos Jr  called on the agency to continue strengthening the government’s social protection initiatives, such as the 4Ps, unconditional cash transfer program, and the social pension program. – Florida B. Robles  "
181,BCPO arrests 264 suspects,"APRIL 2, 2023","  Some 264 wanted persons were arrested by combined operatives of the Baguio City Police Office during the implementation of the simultaneous anti-criminality and law enforcement operations from October 2022 to March 23.
Based on the BCPO accomplishment report, of the arrested wanted persons, 40 are top most wanted persons while 224 are other wanted personalities.
Among the top wanted persons arrested, five are considered to be regional level wanted persons, 11 are city level wanted persons, three are provincial level wanted persons, five are municipal level wanted persons, one district level wanted person, and 15 station level wanted persons.
On anti-illegal drug operations, the BCPO conducted 60 operations during the period where 86 individuals were arrested and three personalities surrendered.
Further, 165.01 grams of shabu, 231.626 grams of marijuana and 10 pieces of ecstasy tablets with a standard drug price of P1.2 million were seized during the said operations.
On the campaign against loose firearms, BCPO conducted 79 operations where some 75 assorted firearms were surrendered, 4 firearms were confiscated and 4 persons were arrested.
The said accomplishments were achieved by the BCPO through the conduct of checkpoints and the implementation of search warrants that were issued by the courts.
On the other hand, BCPO issued some 28,405 traffic citations to violators that resulted in some P13.36 million in collected fines from the apprehended violators during the period.
Moreover, BCPO personnel conduct weekly cleanup drives in public places and tourist destinations as part of their role as deputized environmental officers.
On the government’s anti-insurgency campaign, BCPO reported 10 personalities surrendered and 2 suspected rebels were arrested. – PIO release  "
182,SUPERVISORY DEVELOPMENT COURSE,"APRIL 2, 2023",SUPERVISORY DEVELOPMENT COURSE — The Civil Service Commission-CAR announced the scheduled conduct of a four-day supervisory development course track 1 webinar on April 11 to 14 in line with the continuing efforts to capacitate middle managers and emerging leaders to become effective supervisors. — CSC-CAR photo   
183,CULTURAL PERFORMANCE,"APRIL 2, 2023",CULTURAL PERFORMANCE — Students of SPED Baguio performed the six cultural dances of the Cordillera as part of their annual activity held on March 30 in support of Indigenous People’s Education. — Neil Clark Ongchangco   
184,EMPOWERING WORKERS,"APRIL 2, 2023","EMPOWERING WORKERS — The Social Security System and Bureau of Immigration signed a memorandum of agreement on March 9 at the BI main office in Intramuros, Manila that will provide social security coverage to job order and contract of service workers in the government. Photo shows SSS President and CEO Rolando L. Macasaet (right) and BI Commissioner Norman G. Tansingco during the ceremonial signing that will benefit at least 800 job order and contract of service workers serving in the immigration regulatory body. — SSS handout photo   "
